[2, 8, 3]
Found new best, iteration = 2286000, Error = 0.17750026365357602
Found new best, iteration = 2308000, Error = 0.17588749262267311
Found new best, iteration = 2320000, Error = 0.17440783303446405
Found new best, iteration = 2329000, Error = 0.1737613600343792
Found new best, iteration = 2330000, Error = 0.17258943931886345
Found new best, iteration = 2331000, Error = 0.1723213658554178
Found new best, iteration = 2332000, Error = 0.17169269387736985
Found new best, iteration = 2337000, Error = 0.17118260901766436
Found new best, iteration = 2340000, Error = 0.17024982497442012
Found new best, iteration = 2342000, Error = 0.1693301626595019
Found new best, iteration = 2343000, Error = 0.16852177827471293
Found new best, iteration = 2344000, Error = 0.16817347907291302
Found new best, iteration = 2377000, Error = 0.16803842860772758
Found new best, iteration = 2379000, Error = 0.167755512845392
Found new best, iteration = 2384000, Error = 0.16729353082051607
Found new best, iteration = 2386000, Error = 0.16610012094206178
Found new best, iteration = 2439000, Error = 0.16093453396169538
Found new best, iteration = 2442000, Error = 0.1575159355282184
Found new best, iteration = 2443000, Error = 0.1573307797293699
Found new best, iteration = 2447000, Error = 0.157249412688236
Found new best, iteration = 2448000, Error = 0.15676707963555703
Found new best, iteration = 2450000, Error = 0.15611149331834004
Found new best, iteration = 2459000, Error = 0.15564088456606162
Found new best, iteration = 2496000, Error = 0.15419345350637942
Found new best, iteration = 2500000, Error = 0.1530513600796868
Found new best, iteration = 2502000, Error = 0.1518000233157269
Found new best, iteration = 2503000, Error = 0.1512309513768034
Found new best, iteration = 2505000, Error = 0.15044928850757805
Found new best, iteration = 2506000, Error = 0.14900741474457227
Found new best, iteration = 2508000, Error = 0.14829268814528948
Found new best, iteration = 2509000, Error = 0.14784841157844805
Found new best, iteration = 2514000, Error = 0.14775992339775335
Found new best, iteration = 2516000, Error = 0.1472339261595414
Found new best, iteration = 2517000, Error = 0.1467261158439627
Found new best, iteration = 2521000, Error = 0.14668803604659902
Found new best, iteration = 2522000, Error = 0.14655549853423966
Found new best, iteration = 2523000, Error = 0.14428352122486215
Found new best, iteration = 2525000, Error = 0.14390569276873322
Found new best, iteration = 2526000, Error = 0.143347759489017
Found new best, iteration = 2528000, Error = 0.14334307977224292
Found new best, iteration = 2531000, Error = 0.14198099455936047
Found new best, iteration = 2539000, Error = 0.14127859140263127
Found new best, iteration = 2540000, Error = 0.1403605073960675
Found new best, iteration = 2543000, Error = 0.13981042007976166
Found new best, iteration = 2544000, Error = 0.1397703985252295
Found new best, iteration = 2546000, Error = 0.1371782722876694
Found new best, iteration = 2547000, Error = 0.13671371224328088
Found new best, iteration = 2551000, Error = 0.1360671991798312
Found new best, iteration = 2557000, Error = 0.13577294600500386
Found new best, iteration = 2558000, Error = 0.1353495276309686
Found new best, iteration = 2560000, Error = 0.13492020618361494
Found new best, iteration = 2561000, Error = 0.13460924815213415
Found new best, iteration = 2567000, Error = 0.1339381433563891
Found new best, iteration = 2570000, Error = 0.13372953065325738
Found new best, iteration = 2574000, Error = 0.13371409187204458
Found new best, iteration = 2586000, Error = 0.1336850475592162
Found new best, iteration = 2587000, Error = 0.13271621051975457
Found new best, iteration = 2590000, Error = 0.13249485028563354
Found new best, iteration = 2592000, Error = 0.13184899227929092
Found new best, iteration = 2594000, Error = 0.13101856801261957
Found new best, iteration = 2611000, Error = 0.1309180812285311
Found new best, iteration = 2625000, Error = 0.12863443292349114
Found new best, iteration = 2637000, Error = 0.12859391230216027
Found new best, iteration = 2673000, Error = 0.126221041622061
Found new best, iteration = 2674000, Error = 0.12556807669608375
Found new best, iteration = 2677000, Error = 0.12464491149493036
Found new best, iteration = 2681000, Error = 0.12454936923333092
Found new best, iteration = 2693000, Error = 0.1237312708484828
Found new best, iteration = 2706000, Error = 0.12324825705358666
Found new best, iteration = 2707000, Error = 0.12323418840898728
Found new best, iteration = 2708000, Error = 0.12273392629311237
Found new best, iteration = 2709000, Error = 0.12240823590088643
Found new best, iteration = 2719000, Error = 0.12218376978877617
Found new best, iteration = 2722000, Error = 0.12103705271947962
Found new best, iteration = 2767000, Error = 0.12101658648558547
Found new best, iteration = 2770000, Error = 0.12085908021296468
Found new best, iteration = 2771000, Error = 0.12013473679363129
Found new best, iteration = 2774000, Error = 0.11806433306158565
Found new best, iteration = 2780000, Error = 0.11688484162837352
Found new best, iteration = 2786000, Error = 0.11596727483770353
Found new best, iteration = 2841000, Error = 0.11453056030908743
Found new best, iteration = 2870000, Error = 0.1143837382271105
Found new best, iteration = 2872000, Error = 0.113596135507982
Found new best, iteration = 2878000, Error = 0.11230658069122948
Found new best, iteration = 2879000, Error = 0.11218313658151874
Found new best, iteration = 2880000, Error = 0.11166886960686935
Found new best, iteration = 2881000, Error = 0.11161058966613685
Found new best, iteration = 2882000, Error = 0.11048796481140197
Found new best, iteration = 2890000, Error = 0.1104047346509204
Found new best, iteration = 2896000, Error = 0.11037760477918424
Found new best, iteration = 2897000, Error = 0.11013188009645719
Found new best, iteration = 2898000, Error = 0.11005787600848475
Found new best, iteration = 2970000, Error = 0.10958608603470499
Found new best, iteration = 2978000, Error = 0.10838316656289915
Found new best, iteration = 2996000, Error = 0.10767207369264667
Found new best, iteration = 2998000, Error = 0.10739915467020618
Found new best, iteration = 3005000, Error = 0.10729705125608746
Found new best, iteration = 3010000, Error = 0.10573273289665772
Found new best, iteration = 3012000, Error = 0.10518375894314624
Found new best, iteration = 3031000, Error = 0.10474126644445655
Found new best, iteration = 3166000, Error = 0.10444804179905573
Found new best, iteration = 3184000, Error = 0.10443347629363627
Found new best, iteration = 3186000, Error = 0.10426966401408998
Found new best, iteration = 3188000, Error = 0.10408985160917744
Found new best, iteration = 3191000, Error = 0.1035594461175314
Found new best, iteration = 3194000, Error = 0.10324330107015149
Found new best, iteration = 3209000, Error = 0.10210563902226288
Found new best, iteration = 3217000, Error = 0.10176249715729437
Found new best, iteration = 3218000, Error = 0.1016149426170142
Found new best, iteration = 3300000, Error = 0.1015919718711829
Found new best, iteration = 3432000, Error = 0.10135982990754708
Found new best, iteration = 3434000, Error = 0.1004979512211881
Found new best, iteration = 3451000, Error = 0.10001190917117575
Found new best, iteration = 3474000, Error = 0.099219043163526
Found new best, iteration = 3478000, Error = 0.09730635166357814
Found new best, iteration = 3604000, Error = 0.0972997758557822
Found new best, iteration = 3621000, Error = 0.09683360302458124
Found new best, iteration = 3630000, Error = 0.0967194585562827
Found new best, iteration = 3640000, Error = 0.09648340684001225
Found new best, iteration = 3646000, Error = 0.09616445294063426
Found new best, iteration = 3654000, Error = 0.09462643804393615
Found new best, iteration = 3669000, Error = 0.09432557622424223
Found new best, iteration = 3678000, Error = 0.09278784284116248
Found new best, iteration = 3782000, Error = 0.09185218947928153
Found new best, iteration = 3784000, Error = 0.09173059622629937
Found new best, iteration = 3787000, Error = 0.09146536865564073
Found new best, iteration = 3802000, Error = 0.09116327177911196
Found new best, iteration = 3803000, Error = 0.09069392857878589
Found new best, iteration = 3806000, Error = 0.0895721096242619
Found new best, iteration = 3807000, Error = 0.08905773785139146
Found new best, iteration = 3811000, Error = 0.0888267953986576
Found new best, iteration = 3862000, Error = 0.08844354799597934
Found new best, iteration = 3866000, Error = 0.08819006127815837
Found new best, iteration = 3867000, Error = 0.08804597539684388
Found new best, iteration = 3868000, Error = 0.08772043799640751
Found new best, iteration = 3869000, Error = 0.08710006755502095
Found new best, iteration = 3877000, Error = 0.08645417463555137
